0
A
AAPL
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
AMAT
AMD
AME
AMGN
AMT
AMZN
ANSS
AON
AOS
APA
APD
APH
ARE
ASML
ATO
AVB
AVY
AXON
AXP
AZN
AZO
BA
BAC
BALL
BAX
BBY
BDX
BEN
BF-B
BG
BIIB
BK
BKNG
BKR
BLDR
BLK
BMY
BRK-B
BRO
BSX
BXP
C
CAG
CAH
CAT
CB
CBRE
CCEP
CCI
CCL
CDNS
CHD
CHRW
CI
CINF
CL
CLX
CMCSA
CME
CMI
CMS
CNC
CNP
COF
COO
COP
COR
COST
CPB
CPRT
CPT
CRL
CRM
CSCO
CSGP
CSX
CTAS
CTRA
CTSH
CVS
CVX
D
DD
DE
DECK
DGX
DHI
DHR
DIS
DLR
DLTR
DOC
DOV
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EMN
EMR
EOG
EQIX
EQR
EQT
ERIE
ES
ESS
ETN
ETR
EVRG
EW
EXC
EXPD
EXR
F
FAST
FCX
FDS
FDX
FE
FFIV
FI
FICO
FIS
FITB
FRT
GD
GE
GEN
GILD
GIS
GL
GLW
GOOG
GOOGL
GPC
GPN
GRMN
GS
GWW
HAL
HAS
HBAN
HD
HES
HIG
HOLX
HON
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
IBM
IDXX
IEX
IFF
INCY
INTC
INTU
IP
IPG
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JBL
JCI
JKHY
JNJ
JPM
K
KEY
KIM
KLAC
KMB
KMX
KO
KR
L
LEN
LH
LHX
LII
LIN
LKQ
LLY
LMT
LNT
LOW
LRCX
LUV
LVS
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOH
MOS
MPWR
MRK
MRVL
MS
MSFT
MSI
MSTR
MTB
MTCH
MTD
MU
NDAQ
NDSN
NEE
NEM
NFLX
NI
NKE
NOC
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
O
ODFL
OKE
OMC
ON
ORCL
ORLY
OXY
PAYX
PCAR
PCG
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PNC
PNR
PNW
POOL
PPG
PPL
PRU
PSA
PTC
PWR
QCOM
RCL
REG
REGN
RF
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
RTX
RVTY
SBAC
SBUX
SCHW
SHW
SJM
SLB
SNA
SNPS
SO
SPG
SPGI
SRE
STE
STLD
STT
STX
STZ
SWK
SWKS
SYK
SYY
T
TAP
TDY
TECH
TER
TFC
TGT
TJX
TKO
TMO
TPL
TPR
TRMB
TROW
TRV
TSCO
TSN
TT
TTWO
TXN
TXT
TYL
UDR
UHS
UNH
UNP
UPS
URI
USB
VLO
VMC
VRSN
VRTX
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WSM
WST
WTW
WY
WYNN
XEL
XOM
YUM
ZBH
ZBRA
